codCurso,Curso,Vagas,codInst
9229,Relações Internacionais,56,57,56,0604
9240,Sociologia,34,37,34,0604
9254,Turismo,35,35,35,0604
9787,Património Cultural,20,21,20,0604
9853,Educação Básica,20,2,20,0604
L047,Línguas e Literaturas,45,47,45,0604
9554,Ciências da Nutrição,20,20,20,0901
9813,Medicina,231,231,231,0901
8109,Sociologia (regime pós-laboral),25,26,25,0902
9006,Arqueologia,27,27,27,0902
9020,Ciência Política e Relações Internacionais,70,70,70,0902
9023,Ciências da Comunicação,80,80,80,0902
9040,Ciências da Linguagem,20,21,20,0902
9046,Ciências Musicais,45,46,45,0902
9139,Filosofia,25,25,25,0902
9145,Geografia e Planeamento Regional,60,62,60,0902
9181,História,45,45,45,0902
9182,História da Arte,40,41,40,0902
9204,"Línguas, Literaturas e Culturas",75,76,75,0902
9240,Sociologia,55,55,55,0902
9252,Tradução,60,63,60,0902
9448,Antropologia,45,46,45,0902
9917,Estudos Portugueses,20,20,20,0902
8036,Conservação - Restauro,24,24,24,0903
8334,Engenharia de Micro e Nanotecnologias,55,55,55,0903
9015,Bioquímica,80,80,80,0903
9116,Engenharia Geológica,20,18,20,0903
9209,Matemática,25,25,25,0903
9224,Química Aplicada,30,30,30,0903
9348,Biologia Celular e Molecular,65,65,65,0903
9359,Engenharia Biomédica,57,57,57,0903
9360,Engenharia Civil,50,50,50,0903
9363,Engenharia de Materiais,23,23,23,0903
9367,Engenharia Eletrotécnica e de Computadores,156,156,156,0903
9368,Engenharia Física,25,25,25,0903
9369,Engenharia Mecânica,75,75,75,0903
9370,Engenharia Química e Bioquímica,67,67,67,0903
9508,Engenharia do Ambiente,55,55,55,0903
9509,Engenharia e Gestão Industrial,55,55,55,0903
G005,Engenharia Informática,170,170,170,0903
L167,Matemática Aplicada à Gestão do Risco,20,20,20,0903
9081,Economia,195,195,195,0904
9147,Gestão,195,195,195,0904
8259,Sistemas e Tecnologias de Informação,37,38,37,0906
9155,Gestão de Informação,56,56,56,0906
9078,Direito,93,93,93,0911
8005,Marketing (regime pós-laboral),50,50,50,1000
8183,Geografia e Planeamento,40,41,40,1000
8184,Optometria e Ciências da Visão,55,24,55,1000
8358,Direito (regime pós-laboral),15,15,15,1000
8427,Educação (regime pós-laboral),24,25,24,1000
8433,Negócios Internacionais (regime pós-laboral),28,28,28,1000
8494,Design de Produto,36,36,36,1000
9002,Administração Pública,41,41,41,1000
9006,Arqueologia,20,20,20,1000
9012,Biologia e Geologia,45,46,45,1000
9015,Bioquímica,65,65,65,1000
9019,Ciência Política,30,30,30,1000
9023,Ciências da Comunicação,65,66,65,1000
9078,Direito,110,110,110,1000
9081,Economia,83,85,83,1000
9134,Estudos Culturais,20,20,20,1000
9138,Estudos Portugueses e Lusófonos,30,19,30,1000
9139,Filosofia,25,26,25,1000
9141,Física,24,25,24,1000
9146,Geologia,25,20,25,1000
9147,Gestão,73,73,73,1000
9181,História,35,35,35,1000
9192,Línguas Aplicadas,50,50,50,1000
9195,Línguas e Literaturas Europeias,59,60,59,1000
9209,Matemática,28,28,28,1000
9223,Química,22,22,22,1000
9229,Relações Internacionais,65,65,65,1000
9240,Sociologia,57,59,57,1000
9243,Teatro,25,25,25,1000
9257,Arquitetura,55,56,55,1000
9353,Educação,47,48,47,1000
9358,Engenharia Biológica,42,42,42,1000
9359,Engenharia Biomédica,65,65,65,1000
9360,Engenharia Civil,36,33,36,1000
9363,Engenharia de Materiais,27,27,27,1000
9364,Engenharia de Polímeros,30,30,30,1000
9366,Engenharia Eletrónica Industrial e Computadores,87,87,87,1000
9368,Engenharia Física,33,33,33,1000
9369,Engenharia Mecânica,82,82,82,1000
9371,Engenharia Têxtil,30,22,30,1000
9379,Ciências do Ambiente,35,35,35,1000
9381,Estatística Aplicada,22,22,22,1000
9397,Ciências da Computação,66,66,66,1000
9499,Design e Marketing de Moda,30,30,30,1000
9509,Engenharia e Gestão Industrial,53,53,53,1000
9555,Psicologia,65,65,65,1000
9688,Biologia Aplicada,55,55,55,1000
9813,Medicina,120,120,120,1000
9817,Artes Visuais,25,25,25,1000
