codInst,codCurso,Inst,Curso,Grau,Vagas,Colocados,Nota,Sobras
0501,9448,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Antropologia,L1,47,48,122.0,0
0501,9461,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Química,MI,45,45,143.3,0
0501,9508,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia do Ambiente,MI,25,17,113.3,8
0501,9891,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Design e Multimédia,L1,68,70,159.0,0
0501,L192,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia e Ciência de Dados,L1,43,25,110.0,18
0502,8067,Universidade de Coimbra - Faculdade de Direito,Administração Público-Privada,L1,45,48,159.0,0
0502,9078,Universidade de Coimbra - Faculdade de Direito,Direito,L1,334,337,170.0,0
0503,9081,Universidade de Coimbra - Faculdade de Economia,Economia,L1,154,154,158.0,0
0503,9147,Universidade de Coimbra - Faculdade de Economia,Gestão,L1,94,94,169.0,0
0503,9229,Universidade de Coimbra - Faculdade de Economia,Relações Internacionais,L1,41,41,177.0,0
0503,9240,Universidade de Coimbra - Faculdade de Economia,Sociologia,L1,46,46,143.0,0
0504,9494,Universidade de Coimbra - Faculdade de Farmácia,Ciências Farmacêuticas,MI,199,201,155.8,0
0504,9819,Universidade de Coimbra - Faculdade de Farmácia,Ciências Bioanalíticas,L1,35,35,135.0,0
0504,9832,Universidade de Coimbra - Faculdade de Farmácia,Farmácia Biomédica,L1,34,35,132.2,0
0505,8393,Universidade de Coimbra - Faculdade de Letras,Português,L1,40,41,125.5,0
0505,9006,Universidade de Coimbra - Faculdade de Letras,Arqueologia,L1,25,25,133.0,0
0505,9132,Universidade de Coimbra - Faculdade de Letras,Estudos Artísticos,L1,38,38,140.5,0
0505,9133,Universidade de Coimbra - Faculdade de Letras,Estudos Clássicos,L1,20,20,131.5,0
0505,9135,Universidade de Coimbra - Faculdade de Letras,Estudos Europeus,L1,33,34,157.5,0
0505,9139,Universidade de Coimbra - Faculdade de Letras,Filosofia,L1,28,28,133.5,0
0505,9143,Universidade de Coimbra - Faculdade de Letras,Geografia,L1,63,68,125.5,0
0505,9181,Universidade de Coimbra - Faculdade de Letras,História,L1,63,65,154.0,0
0505,9182,Universidade de Coimbra - Faculdade de Letras,História da Arte,L1,24,24,137.0,0
0505,9694,Universidade de Coimbra - Faculdade de Letras,Ciência da Informação,L1,27,28,135.4,0
0505,9773,Universidade de Coimbra - Faculdade de Letras,Jornalismo e Comunicação,L1,50,51,161.0,0
0505,9779,Universidade de Coimbra - Faculdade de Letras,Línguas Modernas,L1,84,90,153.5,0
0505,L109,Universidade de Coimbra - Faculdade de Letras,"Turismo, Território e Patrimónios",L1,44,48,142.5,0
0506,9548,Universidade de Coimbra - Faculdade de Medicina,Medicina Dentária,MI,42,42,182.5,0
0506,9813,Universidade de Coimbra - Faculdade de Medicina,Medicina,MI,255,256,185.8,0
0507,9026,Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação,Ciências da Educação,L1,70,71,139.5,0
0507,9238,Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação,Serviço Social,L1,37,37,150.0,0
0507,9555,Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação,Psicologia,MI,130,132,164.4,0
0508,9707,Universidade de Coimbra - Faculdade de Ciências do Desporto e Educação Física,Ciências do Desporto,L1,112,113,144.2,0
0602,8262,Universidade de Évora - Escola de Ciências e Tecnologia,Biologia Humana,L1,32,34,131.6,0
0602,9003,Universidade de Évora - Escola de Ciências e Tecnologia,Agronomia,L1,30,32,130.8,0
0602,9011,Universidade de Évora - Escola de Ciências e Tecnologia,Biologia,L1,38,40,134.2,0
