;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
ids;Código Curso;Nome do Curso;Vagas Iniciais;Colocados ;Vagas;Ano;Código Instit.;
183;9240;Sociologia;34;37;37;2018;0604;
184;9254;Turismo;35;35;35;2018;0604;
185;9787;Património Cultural;20;21;21;2018;0604;
186;9853;Educação Básica;20;2;20;2018;0604;
187;L047;Línguas e Literaturas;45;47;47;2018;0604;
188;9554;Ciências da Nutrição;20;20;20;2018;0901;
189;9813;Medicina;231;231;231;2018;0901;
190;8109;Sociologia (regime pós-laboral);25;26;26;2018;0902;
191;9006;Arqueologia;27;27;27;2018;0902;
192;9020;Ciência Política e Relações Internacionais;70;70;70;2018;0902;
193;9023;Ciências da Comunicação;80;80;80;2018;0902;
194;9040;Ciências da Linguagem;20;21;21;2018;0902;
195;9046;Ciências Musicais;45;46;46;2018;0902;
196;9139;Filosofia;25;25;25;2018;0902;
197;9145;Geografia e Planeamento Regional;60;62;62;2018;0902;
198;9181;História;45;45;45;2018;0902;
199;9182;História da Arte;40;41;41;2018;0902;
200;9204;Línguas, Literaturas e Culturas;75;76;76;2018;0902;
201;9240;Sociologia;55;55;55;2018;0902;
202;9252;Tradução;60;63;63;2018;0902;
203;9448;Antropologia;45;46;46;2018;0902;
204;9917;Estudos Portugueses;20;20;20;2018;0902;
205;8036;Conservação - Restauro;24;24;24;2018;0903;
206;8334;Engenharia de Micro e Nanotecnologias;55;55;55;2018;0903;
207;9015;Bioquímica;80;80;80;2018;0903;
208;9116;Engenharia Geológica;20;18;20;2018;0903;
209;9209;Matemática;25;25;25;2018;0903;
210;9224;Química Aplicada;30;30;30;2018;0903;
211;9348;Biologia Celular e Molecular;65;65;65;2018;0903;
212;9359;Engenharia Biomédica;57;57;57;2018;0903;
213;9360;Engenharia Civil;50;50;50;2018;0903;
214;9363;Engenharia de Materiais;23;23;23;2018;0903;
215;9367;Engenharia Eletrotécnica e de Computadores;156;156;156;2018;0903;
216;9368;Engenharia Física;25;25;25;2018;0903;
217;9369;Engenharia Mecânica;75;75;75;2018;0903;
218;9370;Engenharia Química e Bioquímica;67;67;67;2018;0903;
219;9508;Engenharia do Ambiente;55;55;55;2018;0903;
220;9509;Engenharia e Gestão Industrial;55;55;55;2018;0903;
221;G005;Engenharia Informática;170;170;170;2018;0903;
222;L167;Matemática Aplicada à Gestão do Risco;20;20;20;2018;0903;
223;9081;Economia;195;195;195;2018;0904;
224;9147;Gestão;195;195;195;2018;0904;
225;8259;Sistemas e Tecnologias de Informação;37;38;38;2018;0906;
226;9155;Gestão de Informação;56;56;56;2018;0906;
227;9078;Direito;93;93;93;2018;0911;
228;8005;Marketing (regime pós-laboral);50;50;50;2018;1000;
229;8183;Geografia e Planeamento;40;41;41;2018;1000;
230;8184;Optometria e Ciências da Visão;55;24;55;2018;1000;
231;8358;Direito (regime pós-laboral);15;15;15;2018;1000;
232;8427;Educação (regime pós-laboral);24;25;25;2018;1000;
233;8433;Negócios Internacionais (regime pós-laboral);28;28;28;2018;1000;
234;8494;Design de Produto;36;36;36;2018;1000;
235;9002;Administração Pública;41;41;41;2018;1000;
236;9006;Arqueologia;20;20;20;2018;1000;
237;9012;Biologia e Geologia;45;46;46;2018;1000;
238;9015;Bioquímica;65;65;65;2018;1000;
239;9019;Ciência Política;30;30;30;2018;1000;
240;9023;Ciências da Comunicação;65;66;66;2018;1000;
241;9078;Direito;110;110;110;2018;1000;
242;9081;Economia;83;85;85;2018;1000;
243;9134;Estudos Culturais;20;20;20;2018;1000;
244;9138;Estudos Portugueses e Lusófonos;30;19;30;2018;1000;
245;9139;Filosofia;25;26;26;2018;1000;
246;9141;Física;24;25;25;2018;1000;
247;9146;Geologia;25;20;25;2018;1000;
248;9147;Gestão;73;73;73;2018;1000;
249;9181;História;35;35;35;2018;1000;
250;9192;Línguas Aplicadas;50;50;50;2018;1000;
251;9195;Línguas e Literaturas Europeias;59;60;60;2018;1000;
252;9209;Matemática;28;28;28;2018;1000;
253;9223;Química;22;22;22;2018;1000;
254;9229;Relações Internacionais;65;65;65;2018;1000;
